timestamp,username,followers,following,posts,likes,comments
2019-04-04 16:39:41,monumentum_photography,{'count': 740},{'count': 586},82,0,0
2019-04-04 16:39:57,queence_design,{'count': 496},{'count': 825},70,0,0
2019-04-04 16:40:16,foodofhamburg,{'count': 1375},{'count': 2020},114,0,0
2019-04-04 16:40:30,moinworld_e.v,{'count': 493},{'count': 846},134,0,0
2019-04-05 13:04:36,monumentum_photography,{'count': 783},{'count': 605},83,0,0
2019-04-05 13:04:52,queence_design,{'count': 504},{'count': 853},69,0,0
2019-04-05 13:05:11,foodofhamburg,{'count': 1399},{'count': 2053},114,0,0
2019-04-05 13:05:25,moinworld_e.v,{'count': 493},{'count': 846},134,0,0
2019-04-10 07:50:35,monumentum_photography,{'count': 830},{'count': 723},82,594,9
2019-04-10 07:51:39,queence_design,{'count': 575},{'count': 984},74,465,10
2019-04-10 07:52:45,foodofhamburg,{'count': 1508},{'count': 2213},114,1952,37
2019-04-10 07:53:46,moinworld_e.v,{'count': 499},{'count': 844},134,547,22
2019-04-11 08:02:00,monumentum_photography,{'count': 851},{'count': 741},82,633,11
2019-04-11 08:03:06,queence_design,{'count': 591},{'count': 1007},75,489,11
2019-04-11 08:04:10,foodofhamburg,{'count': 1533},{'count': 2244},114,1988,37
2019-04-11 08:05:09,moinworld_e.v,{'count': 501},{'count': 843},134,548,21
2019-04-12 08:01:47,monumentum_photography,{'count': 865},{'count': 762},82,663,11
2019-04-12 08:02:51,queence_design,{'count': 609},{'count': 1026},76,499,9
2019-04-12 08:03:53,foodofhamburg,{'count': 1568},{'count': 2281},114,2044,37
2019-04-12 08:04:53,moinworld_e.v,{'count': 502},{'count': 843},134,552,22
